"","year","sex","age","pop"
"1",2010,"male",0,5807.78229043832
"2",2010,"male",1,24234.3559788745
"3",2010,"male",5,30708.2565797727
"4",2010,"male",10,31085.8586007477
"5",2010,"male",15,31932.1730499034
"6",2010,"male",20,29850.8064141807
"7",2010,"male",25,26314.7102767393
"8",2010,"male",30,24893.3879243295
"9",2010,"male",35,24162.4799909677
"10",2010,"male",40,20349.0032804777
"11",2010,"male",45,17720.9742015204
"12",2010,"male",50,15435.1153185137
"13",2010,"male",55,11723.8847316657
"14",2010,"male",60,9049.28811124771
"15",2010,"male",65,6848.46560829967
"16",2010,"male",70,4978.6775848659
"17",2010,"male",75,3416.64027021602
"18",2010,"male",80,2075.29260857566
"19",2010,"male",85,2202.84717866372
"20",2020,"male",0,4726.77961445528
"21",2020,"male",1,21877.1484149736
"22",2020,"male",5,30729.0810489174
"23",2020,"male",10,31035.9106123504
"24",2020,"male",15,30750.1379797412
"25",2020,"male",20,29717.3456583817
"26",2020,"male",25,28661.4909842151
"27",2020,"male",30,27763.0619357314
"28",2020,"male",35,26706.2045505732
"29",2020,"male",40,24853.1946380757
"30",2020,"male",45,23209.7513228249
"31",2020,"male",50,20091.320138914
"32",2020,"male",55,16888.6612317078
"33",2020,"male",60,14512.2361815892
"34",2020,"male",65,10630.7419330621
"35",2020,"male",70,7730.9017453225
"36",2020,"male",75,5114.82876820883
"37",2020,"male",80,3111.41220696961
"38",2020,"male",85,2511.7910339861
"39",2010,"female",0,5558.35807714635
"40",2010,"female",1,23374.0494886553
"41",2010,"female",5,29891.8619461976
"42",2010,"female",10,29113.5703654756
"43",2010,"female",15,31151.9048824772
"44",2010,"female",20,30952.5245945679
"45",2010,"female",25,27469.9480935736
"46",2010,"female",30,26244.3159684053
"47",2010,"female",35,25297.0065801662
"48",2010,"female",40,21588.7356415894
"49",2010,"female",45,18528.1976180478
"50",2010,"female",50,15859.3355915665
"51",2010,"female",55,11861.6090065833
"52",2010,"female",60,9529.77051245631
"53",2010,"female",65,7126.07414806764
"54",2010,"female",70,5385.29193891037
"55",2010,"female",75,3644.5097297531
"56",2010,"female",80,2545.38793955264
"57",2010,"female",85,2642.54787680792
"58",2020,"female",0,4571.0944405984
"59",2020,"female",1,21278.2992363192
"60",2020,"female",5,29481.0023770377
"61",2020,"female",10,29928.1855576709
"62",2020,"female",15,30075.575529763
"63",2020,"female",20,29784.8061970643
"64",2020,"female",25,29529.1297148637
"65",2020,"female",30,29826.917617662
"66",2020,"female",35,28006.1000032451
"67",2020,"female",40,26463.0172341991
"68",2020,"female",45,24049.6317727995
"69",2020,"female",50,21561.0473460469
"70",2020,"female",55,18023.6880158361
"71",2020,"female",60,15362.647295207
"72",2020,"female",65,11499.4257817993
"73",2020,"female",70,8398.22045063658
"74",2020,"female",75,5717.12667257997
"75",2020,"female",80,3765.96418488431
"76",2020,"female",85,3447.12057178708
